,EXT_NEG_LY_S21_L001,LY_BR1_D_S11_L001,LY_BR1_Detrit_S1_L001,LY_BR1_Toxo_S6_L001,LY_BR1_W1_S16_L001,LY_BR2_D_S12_L001,LY_BR2_Detrit_S2_L001,LY_BR2_Toxo_S7_L001,LY_BR2_W2_S17_L001,LY_BR3_D_S13_L001,LY_BR3_Detrit_S3_L001,LY_BR3_Toxo_S8_L001,LY_BR3_W1_S18_L001,LY_BR4_D_S14_L001,LY_BR4_Detrit_S4_L001,LY_BR4_Toxo_S9_L001,LY_BR4_W1_S19_L001,LY_BR5_D_S15_L001,LY_BR5_Detrit_S5_L001,LY_BR5_Toxo_S10_L001,LY_BR5_W1_S20_L001,PCR_pos_LY_S22_L001
Otu0001,2,16,36,11,11689,18,53,126,24764,36,385,128,371,13,116,328,67927,24,84,5,27,2
Otu0002,0,1,0,16,8,2,2,33939,10,2,1,78,0,0,1,36354,33,4,0,2,1,2
Otu0003,0,1,3144,6,5,2,21403,4,3,5,18008,47,9,0,13666,3,11,0,3041,2,0,5
Otu0004,0,6,8,3,51387,5,1,3,105,3,0,2,52,3,4,0,135,1,778,1,138,0
Otu0006,0,0,1,1,1,1,0,256,0,0,9,38152,9,1,1,7,1,2,0,0,4,1
Otu0007,0,0,0,28564,65,0,0,0,1,15,6,3,109,1,0,1,17,61,4,683,175,1
Otu0008,0,390,0,0,31,1475,0,0,228,2299,1,5,397,15090,1,0,357,383,0,19,406,0
Otu0009,0,1,0,2,1,0,0,1,1,1,1,3,1,0,1,2,1,1,4,0,0,18536
Otu0010,0,87,0,5,15,40,0,235,100,162,50,15,1652,17,4,0,12,238,0,5,125,13780
Otu0011,0,75,3,13650,71,0,7,1,107,22,530,475,103,0,87,6,96,16,13,7,25,0
Otu0012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,37,0,61,14607,0
Otu0013,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,14,0,3,14452,0
Otu0014,0,0,0,1,2,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,13957
Otu0015,0,0,0,0,0,0,0,0,0,49,565,12171,563,2,14,40,489,1,0,3,5,0
Otu0016,0,1,4,0,6,1,3,1,2,2,1,0,0,1,3,0,5,0,11,0,2,13738
Otu0017,0,1,3,0,1,0,2,1,1,2,169,2654,55,1,3,5,3,24,155,30,16,9641
Otu0018,8508,32,249,30,84,19,793,34,47,0,103,0,22,11,1263,48,66,0,988,0,0,11
Otu0019,0,0,0,1,3,1,0,4,0,2,1,1,0,0,0,2,1,4,0,2,8,11403
Otu0020,0,0,0,1,1,0,1,0,0,3,1,1,0,0,2,0,1,0,2,0,0,9398
Otu0021,0,65,449,22,99,43,1247,6006,197,1,712,56,9,0,15,0,12,0,3,2,0,0
Otu0022,0,196,10,18,92,1820,127,388,726,463,209,21,243,22,40,0,44,447,2193,702,924,0
Otu0023,0,0,2918,85,1,0,103,0,0,0,0,0,0,0,4927,6,2,0,0,0,0,0
Otu0024,0,2,0,1,6093,8,0,0,1852,0,1,0,1,0,0,0,0,0,62,0,0,0
Otu0025,0,325,168,693,95,44,646,46,47,331,1119,142,547,9,716,48,98,37,1463,1312,25,0
Otu0026,0,0,12,0,1,0,0,0,0,1,22,0,20,0,0,2,0,0,7512,0,4,1
Otu0027,0,103,2096,93,99,1,15,0,3,21,1138,23,276,0,2191,20,54,19,531,451,45,0
Otu0028,0,268,1939,1056,67,609,1203,20,26,37,312,14,30,20,1460,33,39,0,1,5,0,0
Otu0029,0,46,0,1,10,73,1,5612,21,100,26,14,378,2,0,1,1,488,0,5,99,11
Otu0030,0,1,449,90,0,0,2808,0,0,0,977,9,5,0,1515,0,0,0,909,2,0,0
Otu0031,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,188,1,64,6419,0
Otu0032,0,10,4069,199,83,0,69,3,0,3,200,25,38,0,1800,57,5,1,58,5,0,0
